session_id,total_pairs,relevant_pairs,partially_relevant_pairs,not_relevant_pairs,relevance_pct,mostly_not_relevant
cmnr10cdu000304lbfvxc7rr4,29,0,28,1,0.0,True
cmnr15g8e000404lbiuk9kwp8,4,2,1,1,50.0,False
cmnr16ngv0007gjse9m5m9vv0,1,0,1,0,0.0,False
cmnr4hygf000104jrhez16k4k,16,4,11,1,25.0,False
cmnr7j908000204jrwdq4fkyq,36,12,22,2,33.33,False
cmnr7jmg9000304jr2xg8n6q7,25,13,11,1,52.0,False
cmnr7klry000b04jrqp5zn0g2,83,15,66,2,18.07,False
cmnr7kwwj000g04jrpjkpnhus,23,8,13,2,34.78,False
cmnr7kymf000k04jrq66gh93o,12,0,7,5,0.0,True
cmnr7l0kc000n04jrsqmi1f9u,84,10,69,5,11.9,False
cmnr7lg2g000805if1yf9hddk,2,0,2,0,0.0,False
cmnr7lgyy000q04jrfvyn430t,56,22,32,2,39.29,False
cmnr7lhwu000r04jrequvd7ev,36,15,17,4,41.67,False
cmnr7lhxe000s04jrepg6lscb,26,12,13,1,46.15,False
cmnr7li4z000t04jrpwvih1yy,43,9,31,3,20.93,False
cmnr7lijs000u04jrde26hw2g,39,15,21,3,38.46,False
cmnr7ljbq000v04jri6imku7k,35,7,25,3,20.0,False
cmnr7lkp4000x04jrmbnyarjl,33,14,16,3,42.42,False
cmnr7ln2f000y04jrdso1is7k,84,15,61,8,17.86,False
cmnr7lnmd000z04jrda2bcl6f,54,14,36,4,25.93,False
cmnr7lrxx000905ifyto3cpfj,51,11,38,2,21.57,False
cmnr7lvhi000b05ifu6mv1pq3,40,16,22,2,40.0,False
cmnr7lxso000c05ifm7aqw1yu,67,9,56,2,13.43,False
cmnr7lzna000e05if5sttxdmd,82,20,55,7,24.39,False
cmnr7m3lf000f05ifi1dyatg5,59,13,43,3,22.03,False
cmnr7m74d000g05ifj1u77h34,22,4,18,0,18.18,False
cmnr7mb10000i05if0orkbzsv,48,12,35,1,25.0,False
cmnr7mey4000k05ifg7e7oxf7,143,15,119,9,10.49,False
cmnr7mp51000p05ifwi0v1nrs,11,0,10,1,0.0,True
cmnr7mrde000r05ifrlkq924y,72,20,47,5,27.78,False
cmnr7n5qm000v05iffq8t1gay,35,13,21,1,37.14,False
cmnr7n7ww000w05ifdplvzzwv,86,13,71,2,15.12,False
cmnr7n944000x05ifv13eer7f,77,9,68,0,11.69,False
cmnr7n94f000y05if91sq1t6x,53,17,36,0,32.08,False
cmnr7ni51001205if6c0mdcdv,58,3,52,3,5.17,False
cmnr7nxjz001605if11afiqj2,85,25,59,1,29.41,False
cmnr7p1a2001204jrsdatqtym,126,22,87,17,17.46,False
cmnr7p238001304jr91236isa,68,20,45,3,29.41,False
cmnr7p2tq001404jrigtgprj4,41,5,35,1,12.2,False
cmnr7p55d001504jrumdgv40i,53,20,28,5,37.74,False
cmnr7p8yq001905ifxpnft2m7,33,8,22,3,24.24,False
cmnr7papr001a05ifgmt7qvuf,29,7,22,0,24.14,False
cmnr7q7f8001904jrsw6oz29o,30,9,14,7,30.0,False
cmnr7q975001c04jrs6h1aml6,79,11,67,1,13.92,False
cmnr7qngk001h05ifwm9vlhmp,53,7,45,1,13.21,False
cmnr7qr0q001i05ifb72vu087,77,21,56,0,27.27,False
cmnr7qv5y001j05if0vh640w8,29,11,17,1,37.93,False
cmnr7tewk000304jzbun78uyf,4,1,1,2,25.0,True
cmnr7uud6000604jz4q27w5uw,23,4,19,0,17.39,False
cmnr7valg000804jzagu2y5h0,2,0,0,2,0.0,True
cmnr7vg5g000904jzldybbx3s,19,9,9,1,47.37,False
cmnr7x3wu000604ihz5h853za,9,3,6,0,33.33,False
cmnr81eoe000h04jz1rpcvsuo,4,1,3,0,25.0,False
cmnvhi2bm000004l4jca4ei39,1,1,0,0,100.0,False
