problem_theme,feedback_count,buckets,example_feedbacks
speech recognition/transcript inaccurate,13,Conversational | Technical | UI/UX,"Ibbu 🤙: [09/04/26, 2:21:14 PM] I am ibrahim I connected through mobile it was a good experience having a conversation with the agent but in few times the ai didn't recognise the words clearly and properly and few times It was... || Indhu R: [09/04/26, 2:22:20 PM] Hi, I am Indhu. First, I did the pre-diagnostics on my mobile, but it didn’t open—it was showing “waiting for agent to join.” Then I tried the pre-diagnostics on my laptop; it got connected, but... || Kavi🫴🏻💗: [09/04/26, 2:33:23 PM] Hi, I am kaviyarasan, I am using la laptop. The app has a clean and user-friendly UI, making it easy to navigate. However, there is an issue with the speech-to-text feature. When I speak in Engl... || Muthu selvi🧚🏻‍♀️🤍: [09/04/26, 2:21:47 PM] I am Muthu Selvi. I am using a laptop. Sometimes, when I speak, my words are not understood correctly, and they change. Sometimes it understands correctly and responds fast, but other times it d... || Samuel Devanathan: [09/04/26, 2:36:38 PM] Hi Ma'am I'm SamueI ,I was testing on my laptop ,I noticed that the voice recognition sometimes misinterprets words—for example, it hears one stack instead of MERN stack. Also, there's a small U..."
transcript/text not shown,5,Technical | UI/UX,",👊👊👊: [09/04/26, 2:16:46 PM] [Audio note transcription] Hi, I am Seth guy 2 and atr. and class I did beforedigital file rd so with the Gaming You so was later, and overload Next screen and tab Right, I ask me don't have lev... || Alice Mary: [09/04/26, 2:18:13 PM] I am Alice Mary 1.The transcript was not available for me 2.The response time was slow 3. I don't know where the exit option was <This message was edited> || Dhanushkumar: [09/04/26, 2:34:32 PM] [Audio note transcription] Hi, I am Dhanos Kumar. I use the interview application in Lata. First, you know, you aid in the sopran. When speak on the other, other chat box, Marie, in the UI, you ... || Indhu R: [09/04/26, 2:22:20 PM] Hi, I am Indhu. First, I did the pre-diagnostics on my mobile, but it didn’t open—it was showing “waiting for agent to join.” Then I tried the pre-diagnostics on my laptop; it got connected, but... || Ramya ✨: [09/04/26, 2:33:05 PM] Sometimes I answer the question, but my response is not accepted. It shows “taking time,” and the sentence I speak does not appear in the UI."
answer not captured/submitted,4,Technical,",👊👊👊: [09/04/26, 2:16:46 PM] [Audio note transcription] Hi, I am Seth guy 2 and atr. and class I did beforedigital file rd so with the Gaming You so was later, and overload Next screen and tab Right, I ask me don't have lev... || BramikhaHebrews: [09/04/26, 2:18:22 PM] I am Anu Bramikha. When I take the pre-diagnostic test through Mobile, it asks questions and I answer them, but sometimes my answer does not get submitted. It seems like I don’t know the answer,... || Ramya ✨: [09/04/26, 2:33:05 PM] Sometimes I answer the question, but my response is not accepted. It shows “taking time,” and the sentence I speak does not appear in the UI. || Saru: [09/04/26, 2:18:39 PM] [Audio note transcription] Hello, I am Sarlata, now on the laptop, on the website, you use one hand and you will learn another in the chain. But in the next one, I will go to the patient to come..."
latency/slow response,4,Technical | UI/UX,"Alice Mary: [09/04/26, 2:18:13 PM] I am Alice Mary 1.The transcript was not available for me 2.The response time was slow 3. I don't know where the exit option was <This message was edited> || Ibbu 🤙: [09/04/26, 2:21:14 PM] I am ibrahim I connected through mobile it was a good experience having a conversation with the agent but in few times the ai didn't recognise the words clearly and properly and few times It was... || Muthu selvi🧚🏻‍♀️🤍: [09/04/26, 2:21:47 PM] I am Muthu Selvi. I am using a laptop. Sometimes, when I speak, my words are not understood correctly, and they change. Sometimes it understands correctly and responds fast, but other times it d... || Ramya ✨: [09/04/26, 2:33:05 PM] Sometimes I answer the question, but my response is not accepted. It shows “taking time,” and the sentence I speak does not appear in the UI."
question skipped/auto-advance,4,Technical | UI/UX,"BramikhaHebrews: [09/04/26, 2:18:22 PM] I am Anu Bramikha. When I take the pre-diagnostic test through Mobile, it asks questions and I answer them, but sometimes my answer does not get submitted. It seems like I don’t know the answer,... || Hari Aswin 🦅💥: [09/04/26, 2:17:22 PM] [Audio note transcription] Hi mom, I am Harishan. I am the full application news for the Bhutan. I am full on the first two minutes waiting for the agent to come to connect. Connect to the first... || Nathi 💜🌊: [09/04/26, 2:20:00 PM] 1. Na ethuvum pesama 2 time (tap to speak) Button click panna antha current question ku answer pananmaley next question ku move agiruchi apdy illama answer the privious question antha mari ethac... || 🥰..................💙: [09/04/26, 2:25:26 PM] I am Aswin. Sometimes the website ignores my reply and skips to the next question <This message was edited>"
feedback unclear from transcription,3,Technical | UI/UX,"Madhuhasan R: [09/04/26, 2:52:07 PM] [Audio note transcription] and a box and a company name and a box and a box and || Mr. Undefined: [09/04/26, 2:32:57 PM] [Audio note transcription] voice from Also something like that's my place.. I use nothing like that, but I also play as Temperamente It takes a lot of contact with people and Part of Black James... || Nandhini: [09/04/26, 2:20:10 PM] [Audio note transcription] Hi, I'm Minnie. Starting here. ergonomic Followings I should make sure everyone is in their midsea contact. Then the region. We can set elects every rocking in one gro..."
audio not recorded,2,Technical,"Ibbu 🤙: [09/04/26, 2:21:14 PM] I am ibrahim I connected through mobile it was a good experience having a conversation with the agent but in few times the ai didn't recognise the words clearly and properly and few times It was... || Muthu selvi🧚🏻‍♀️🤍: [09/04/26, 2:21:47 PM] I am Muthu Selvi. I am using a laptop. Sometimes, when I speak, my words are not understood correctly, and they change. Sometimes it understands correctly and responds fast, but other times it d..."
connection/agent join failure,2,Technical,"dharvindharvin00: [09/04/26, 2:27:17 PM] Hi I am Jesudhas Dharvin. I faced an issue where the session did not connect . Even after refreshing twice, it kept showing waiting for agent to join. || Indhu R: [09/04/26, 2:22:20 PM] Hi, I am Indhu. First, I did the pre-diagnostics on my mobile, but it didn’t open—it was showing “waiting for agent to join.” Then I tried the pre-diagnostics on my laptop; it got connected, but..."
delete control missing,2,UI/UX,"Yalini: [09/04/26, 2:21:57 PM] I am yalini. I attended pre-diagnostics on the laptop. I like its questions. Sometimes transcripts are wrong, and sometimes it was not able to hear my answers. voice record panna aprom stop pann... || ~💜: [09/04/26, 2:33:15 PM] I'm Preethi, Naa laptop la pannan UI nalla irunthuchi but lap la use pandra appo lap view la iruntha nalla irukum.Voice msg pesura appo text show ana nalla irukum and athula naa mistake ah ans p..."
exit/end control unclear,2,UI/UX,"Alice Mary: [09/04/26, 2:18:13 PM] I am Alice Mary 1.The transcript was not available for me 2.The response time was slow 3. I don't know where the exit option was <This message was edited> || Rajarajeshwari 🖤: [09/04/26, 2:37:50 PM] Hii, I am Rajarajeshwari. I attended the pre-diagnostics on the phone. I liked the UI; it’s very clear and easy to understand. The way it speaks slowly and explains things simply is really helpf..."
