phone_number,sender_name,groups,response,row_id,manual_bucket,normalized_phone,normalized_sender_name,sender_tokens
,",👊👊👊",WhatsApp Chat - Intervoo usecase pilot group_2,"[09/04/26, 2:16:46 PM] [Audio note transcription] Hi, I am Seth guy 2 and atr. and class I did beforedigital file rd so with the Gaming You so was later, and overload Next screen and tab Right, I ask me don't have level problem and sometimes I don't want to give the text Because I have to decide I am going to be talking about the the the the the the the the the the the the the the",1,Technical,,,set()
,Abirami R💚❤️,WhatsApp Chat - Intervo Usecase pilot 3,"[09/04/26, 2:29:27 PM] [Audio note transcription] So, I don't know if you have any questions or not. I just want to talk about the the the the the the the the the the the the the the the the the the the the the the the the the the the the",2,Conversational,,abiramir,{'abirami'}
,BramikhaHebrews,WhatsApp Chat - Intervoo UseCase Pilot Group_1,"[09/04/26, 2:18:22 PM] I am Anu Bramikha. When I take the pre-diagnostic test through Mobile, it asks questions and I answer them, but sometimes my answer does not get submitted. It seems like I don’t know the answer, and it automatically moves to the next question. This issue happens sometimes. <This message was edited>",4,Technical,,bramikhahebrews,{'bramikhahebrews'}
,dharvindharvin00,WhatsApp Chat - Intervoo Usecase pilot Group_4,"[09/04/26, 2:27:17 PM] Hi I am Jesudhas Dharvin. I faced an issue where the session did not connect . Even after refreshing twice, it kept showing waiting for agent to join.",6,Technical,,dharvindharvin00,{'dharvindharvin00'}
,G.Sujiத்ரா 🙂😎,WhatsApp Chat - Intervoo UseCase pilot Group_5,"[09/04/26, 2:45:08 PM] It’s not showing what I type it’s showing random characters",7,UI/UX,,gsuji,{'suji'}
,Ibbu 🤙,WhatsApp Chat - Intervoo UseCase Pilot Group_1,"[09/04/26, 2:21:14 PM] I am ibrahim I connected through mobile it was a good experience having a conversation with the agent but in few times the ai didn't recognise the words clearly and properly and few times It was not recording the voice even though I turned the recording on Like i will be speaking I and once I complete the talk it didn't transcript my speech and there was a slight delay in clicking the button were I will be clicking it but it took time to process it the agent was good in content were bringing up question from what I say from the previous Convo we shared in the same chat so it was good and nice experience using it So before starting the call it was asking what medium we are taking like normal like with or without headphones I joined with headphones and while doing the call there was some interruption in like someone connected to my device so I disconnected my device from my mobile but I was not able to continue the call without headphones like it will be good if we get a popup saying connect your headphones and continue .",9,Technical,,ibbu,{'ibbu'}
,Indhu R,WhatsApp Chat - Intervo Usecase pilot 3,"[09/04/26, 2:22:20 PM] Hi, I am Indhu. First, I did the pre-diagnostics on my mobile, but it didn’t open—it was showing “waiting for agent to join.” Then I tried the pre-diagnostics on my laptop; it got connected, but sometimes it translated what I said incorrectly, and at times what I said didn’t show up. However, even when it translated my input wrongly, it still gave the correct response.",10,Technical,,indhur,{'indhu'}
,Madhuhasan R,WhatsApp Chat - Intervoo UseCase Pilot Group_6,"[09/04/26, 2:52:07 PM] [Audio note transcription] and a box and a company name and a box and a box and",12,UI/UX,,madhuhasanr,{'madhuhasan'}
,Mr. Undefined,WhatsApp Chat - Intervoo UseCase Pilot Group_6,"[09/04/26, 2:32:57 PM] [Audio note transcription] voice from Also something like that's my place.. I use nothing like that, but I also play as Temperamente It takes a lot of contact with people and Part of Black James players are in games where I have all the personalized pros.",14,Technical,,mrundefined,{'undefined'}
,Muthu selvi🧚🏻‍♀️🤍,WhatsApp Chat - Intervo Usecase pilot 3,"[09/04/26, 2:21:47 PM] I am Muthu Selvi.  I am using a laptop. Sometimes, when I speak, my words are not understood correctly, and they change. Sometimes it understands correctly and responds fast, but other times it does not. I also saw a keyboard icon near the microphone, and I don’t know why it is there. Sometimes when I speak, my voice is not recorded, and sometimes it takes a long time to reply. Also, the voice is very loud, and even if I try to reduce it, it doesn't decrease.",15,Technical,,muthuselvi,"{'muthu', 'selvi'}"
,Nandhini,WhatsApp Chat - Intervoo Usecase pilot Group_4,"[09/04/26, 2:20:10 PM] [Audio note transcription] Hi, I'm Minnie. Starting here. ergonomic Followings I should make sure everyone is in their midsea contact. Then the region. We can set elects every rocking in one group. We are also following a new roadmap of the",16,Technical,,nandhini,{'nandhini'}
,Nathi 💜🌊,WhatsApp Chat - Intervoo UseCase pilot Group_5,"[09/04/26, 2:20:00 PM] 1. Na ethuvum pesama 2 time (tap to speak) Button click panna antha current question ku answer pananmaley next question ku move agiruchi apdy illama answer the privious question antha mari ethachi vantha nalla ierukum intead of jump the next question
2. Namba pesum pothu subtitle ieruntha ienum better aha ierukum.",17,UI/UX,,nathi,{'nathi'}
,rajamania703,WhatsApp Chat - Intervo Usecase pilot 3,"[09/04/26, 2:28:45 PM] Hi Ma’am/Sir, I am Ragavi.
1. While I was attending the interview, before I could complete one question, it automatically exited.
2. After it exited, I tried to reattempt, but I was asked to wait for a long time and still couldnt attend.
3. I am unable to reattempt the interview.",18,Technical,,rajamania703,{'rajamania703'}
,Rajarajeshwari 🖤,WhatsApp Chat - Intervo Usecase pilot 3,"[09/04/26, 2:37:50 PM] Hii, I am Rajarajeshwari. I attended the pre-diagnostics on the phone. I liked the UI; it’s very clear and easy to understand. The way it speaks slowly and explains things simply is really helpful. It would be great if whatever we speak also appeared as text in a box. It would be useful if there was an option to delete messages when we make a mistake. To end the call, we currently have to scroll up to the first conversation at the top; it would be better if there were a simpler way to end the call.",19,UI/UX,,rajarajeshwari,{'rajarajeshwari'}
,Roman Ranjith,WhatsApp Chat - Intervo Usecase pilot 3,"[09/04/26, 2:18:31 PM] I am Ranjith Kumar. I am using a laptop. My feedback is that when I speak to the AI, it is not clear and I cannot hear it properly at times. It would be better if there was a microphone feature. Also, my voice is not being captured clearly, so it should be improved like proper mic recording.",21,Technical,,romanranjith,"{'roman', 'ranjith'}"
,Sarathasharu,WhatsApp Chat - Intervo Usecase pilot 3,"[09/04/26, 2:57:24 PM] Hi, I am Sarathadevi. I attended the interview on a laptop. When I speak one thing, it gives a different response. It keeps talking about the same topic continuously. Without understanding what I say, it takes time and then asks the next question.",23,Conversational,,sarathasharu,{'sarathasharu'}
,~<Hani>~°,WhatsApp Chat - Intervoo UseCase pilot Group_5,"[09/04/26, 2:35:20 PM] [Audio note transcription] Hi, I'm Siddhi. My name is Nav charts. Since this was done, I've had a near crisisuit of 200-Rex distinctrehensive pulp. I'm qualified to guides you in the Q&A which is to extend depth of the original you can reduce depth of the original You have a question? If only I knew your answer this day You're able to know God, not to pursue a yinna or Jana or J Ricardo. Please know God is leaving. Don't have a Guto. account for girls. I will apply the Korean method and find them there

[09/04/26, 2:42:58 PM] Na laptop la than pannen small card kulla irukka mari irukku na pesaila antha card koncham big ahh vaikkalam illana antha card ehh illama screen fullah iruntha nalla irukkum",31,UI/UX,,hani,{'hani'}
,~💜,WhatsApp Chat - Intervoo UseCase pilot Group_5,"[09/04/26, 2:33:15 PM] I'm Preethi, Naa laptop la pannan UI nalla irunthuchi but lap la use pandra appo lap view la iruntha nalla irukum.Voice msg pesura appo text show ana nalla irukum and athula naa mistake ah ans panniruntha delete pannutu ans pandra mari iruntha nalla irunthurukum.",32,UI/UX,,,set()
,మహాలక్ష్మి,WhatsApp Chat - Intervoo usecase pilot group_2,"[09/04/26, 2:21:19 PM] I am Maga M from FSSA Section C.
I attended the interview pre-diagnostic on my mobile phone. It was a good experience communicating with Sana AI. The questions were asked clearly and in basic English, which made me easy to understand for everyone.However, the transcript was not very accurate, as it did not capture the responses properly. Additionally, the word framing could be improved. Other than that, the user interface is good and the platform is easy to use.",33,Technical,,,set()
,🇷‌🇦‌🇯‌🇦‌🇳‌  ❄️,WhatsApp Chat - Intervoo UseCase Pilot Group_6,"[09/04/26, 2:28:56 PM] Hi ma'am, I am Rajan and I take that interview on my laptop. the app is not able to recognize my answers properly, even when I speak clearly.",35,Technical,,,set()
,🥰..................💙,WhatsApp Chat - Intervoo UseCase Pilot Group_1,"[09/04/26, 2:25:26 PM] I am Aswin. Sometimes the website ignores my reply and skips to the next question <This message was edited>",37,Technical,,,set()
,🫣🫢❤️‍🩹MY LIFE MOM DAD🫣🫢❤️‍🩹,WhatsApp Chat - Intervoo UseCase Pilot Group_1,"[09/04/26, 2:52:01 PM] I am Thrisha. My problem is when someone asks me a question I try to answer but my answer is not correct. When I say something it comes out differently. The questions are easy but when I speak the answer doesn’t come out.",38,Technical,,mylifemomdad,"{'mom', 'life', 'dad'}"
